ALG;Algeria;;;;;;;;;;;;;x;;;;
ALG_ADJ;Algeria;;;;;;;;;;;;;x;;;;
ALG_social_democrat;Democratic Socialists of Algeria;;;;;;;;;;;;;x;;;;
ALG_socialist;Socialist Party of Algeria;;;;;;;;;;;;;x;;;;
ALG_communist;Algeria Revolutionary Party;;;;;;;;;;;;;x;;;;
ALG_liberal;Algeria Democratic Party;;;;;;;;;;;;;x;;;;
ALG_anarcho_liberal;Algeria Libertarian Party;;;;;;;;;;;;;x;;;;
ALG_green;Algeria Green Party;;;;;;;;;;;;;x;;;;
ALG_conservative;Algeria Republican Party;;;;;;;;;;;;;x;;;;
ALG_nationalist;Algeria Party;;;;;;;;;;;;;x;;;;
ALG_traditionalist;Algeria Constitution Party;;;;;;;;;;;;;x;;;;
ALG_ultranationalist;Algeria Ultranationalist;;;;;;;;;;;;;x;;;;
