AMB;Ambazonia;;;;;;;;;;;;;x;;;;
AMB_ADJ;Ambazonian;;;;;;;;;;;;;x;;;;
AMB_social_democrat;Democratic Socialists of Ambazonia;;;;;;;;;;;;;x;;;;
AMB_socialist;Socialist Party of Ambazonia;;;;;;;;;;;;;x;;;;
AMB_communist;Ambazonia Revolutionary Party;;;;;;;;;;;;;x;;;;
AMB_liberal;Ambazonia Democratic Party;;;;;;;;;;;;;x;;;;
AMB_anarcho_liberal;Ambazonia Libertarian Party;;;;;;;;;;;;;x;;;;
AMB_green;Ambazonia Green Party;;;;;;;;;;;;;x;;;;
AMB_conservative;Ambazonia Republican Party;;;;;;;;;;;;;x;;;;
AMB_nationalist;Ambazonia Party;;;;;;;;;;;;;x;;;;
AMB_traditionalist;Ambazonia Constitution Party;;;;;;;;;;;;;x;;;;
AMB_ultranationalist;Ambazonia Ultranationalist;;;;;;;;;;;;;x;;;;
