ANT;Antilles Federation;;;;;;;;;;;;;x;;;;
ANT_ADJ;Antillian;;;;;;;;;;;;;x;;;;
ANT_social_democrat;Democratic Socialists of Antilles Federation;;;;;;;;;;;;;x;;;;
ANT_socialist;Socialist Party of Antilles Federation;;;;;;;;;;;;;x;;;;
ANT_communist;Communist Party of Antilles Federation;;;;;;;;;;;;;x;;;;
ANT_liberal;Antilles Federation Democratic Party;;;;;;;;;;;;;x;;;;
ANT_anarcho_liberal;Antilles Federation Libertarian Party;;;;;;;;;;;;;x;;;;
ANT_green;Antilles Federation Green Party;;;;;;;;;;;;;x;;;;
ANT_conservative;Antilles Federation Republican Party;;;;;;;;;;;;;x;;;;
ANT_nationalist;Antilles Independence Party;;;;;;;;;;;;;x;;;;
ANT_traditionalist;Antilles Federation Constitution Party;;;;;;;;;;;;;x;;;;
ANT_ultranationalist;Antillies Ultranationalist;;;;;;;;;;;;;x;;;;
anglo_antillian;Anglo-Antillian;;;;;;;;;;;;;x;;;;
dutch_antillian;Dutch-Antillian;;;;;;;;;;;;;x;;;;
french_antillian;French-Antillian;;;;;;;;;;;;;x;;;;
