ARK;Arkhangelsk;;;;;;;;;;;;;x;;;;
ARK_ADJ;Arkhangelsk;;;;;;;;;;;;;x;;;;
ARK_social_democrat;Democratic Socialists of Arkhangelsk;;;;;;;;;;;;;x;;;;
ARK_socialist;Socialist Party of Arkhangelsk;;;;;;;;;;;;;x;;;;
ARK_communist;Arkhangelsk Revolutionary Party;;;;;;;;;;;;;x;;;;
ARK_liberal;Arkhangelsk Democratic Party;;;;;;;;;;;;;x;;;;
ARK_anarcho_liberal;Arkhangelsk Libertarian Party;;;;;;;;;;;;;x;;;;
ARK_green;Arkhangelsk Green Party;;;;;;;;;;;;;x;;;;
ARK_conservative;Arkhangelsk Republican Party;;;;;;;;;;;;;x;;;;
ARK_nationalist;Arkhangelsk Party;;;;;;;;;;;;;x;;;;
ARK_traditionalist;Arkhangelsk Constitution Party;;;;;;;;;;;;;x;;;;
ARK_ultranationalist;Arkhangelsk Ultranationalist;;;;;;;;;;;;;x;;;;
