ARM;Armenia;;;;;;;;;;;;;x;;;;
ARM_ADJ;Armenian;;;;;;;;;;;;;x;;;;
ARM_social_democrat;Democratic Socialists of Armenia;;;;;;;;;;;;;x;;;;
ARM_socialist;Socialist Party of Armenia;;;;;;;;;;;;;x;;;;
ARM_communist;Armenia Revolutionary Party;;;;;;;;;;;;;x;;;;
ARM_liberal;Armenia Democratic Party;;;;;;;;;;;;;x;;;;
ARM_anarcho_liberal;Armenia Libertarian Party;;;;;;;;;;;;;x;;;;
ARM_green;Armenia Green Party;;;;;;;;;;;;;x;;;;
ARM_conservative;Armenia Republican Party;;;;;;;;;;;;;x;;;;
ARM_nationalist;Armenia Party;;;;;;;;;;;;;x;;;;
ARM_traditionalist;Armenia Constitution Party;;;;;;;;;;;;;x;;;;
ARM_ultranationalist;Armenia Ultranationalist;;;;;;;;;;;;;x;;;;
