ASC;Australasian Compact;;;;;;;;;;;;;x;;;;
ASC_ADJ;Australasian Compact;;;;;;;;;;;;;x;;;;
ASC_social_democrat;Labor Party;;;;;;;;;;;;;x;;;;
ASC_socialist;Socialist Workers Party;;;;;;;;;;;;;x;;;;
ASC_communist;Communist Party of Australasia;;;;;;;;;;;;;x;;;;
ASC_liberal;Liberal Party;;;;;;;;;;;;;x;;;;
ASC_anarcho_liberal;Progress Party;;;;;;;;;;;;;x;;;;
ASC_green;Australasian Compact Green Party;;;;;;;;;;;;;x;;;;
ASC_conservative;National Party;;;;;;;;;;;;;x;;;;
ASC_nationalist;Progressive Conservative Party;;;;;;;;;;;;;x;;;;
ASC_traditionalist;Australasian Compact Constitution Party;;;;;;;;;;;;;x;;;;
ASC_ultranationalist;Australasian Compact Ultranationalist;;;;;;;;;;;;;x;;;;
