ASN;Mandatory Nigeria;;;;;;;;;;;;;x;;;;
ASN_ADJ;OAS Mandatory;;;;;;;;;;;;x;;;;
ASN_social_democrat;Democratic Socialists of Nigeria;;;;;;;;;;;;;x;;;;
ASN_socialist;African Independence Party;;;;;;;;;;;;;x;;;;
ASN_communist;Nigeria Revolutionary Party;;;;;;;;;;;;;x;;;;
ASN_liberal;Nigeria Democratic Party;;;;;;;;;;;;;x;;;;
ASN_anarcho_liberal;Nigeria Libertarian Party;;;;;;;;;;;;;x;;;;
ASN_green;Nigeria Green Party;;;;;;;;;;;;;x;;;;
ASN_conservative;Nigeria Republican Party;;;;;;;;;;;;;x;;;;
ASN_nationalist;Nigeria Party;;;;;;;;;;;;;x;;;;
ASN_traditionalist;Nigeria Constitution Party;;;;;;;;;;;;;x;;;;
ASN_ultranationalist;Nigeria Ultranationalist;;;;;;;;;;;;;x;;;;
