ASS;Assam;;;;;;;;;;;;;x;;;;
ASS_ADJ;Assam;;;;;;;;;;;;;x;;;;
ASS_social_democrat;Democratic Socialists of Assam;;;;;;;;;;;;;x;;;;
ASS_socialist;Socialist Party of Assam;;;;;;;;;;;;;x;;;;
ASS_communist;Assam Revolutionary Party;;;;;;;;;;;;;x;;;;
ASS_liberal;Assam Democratic Party;;;;;;;;;;;;;x;;;;
ASS_anarcho_liberal;Assam Libertarian Party;;;;;;;;;;;;;x;;;;
ASS_green;Assam Green Party;;;;;;;;;;;;;x;;;;
ASS_conservative;Assam Republican Party;;;;;;;;;;;;;x;;;;
ASS_nationalist;Assam Party;;;;;;;;;;;;;x;;;;
ASS_traditionalist;Assam Constitution Party;;;;;;;;;;;;;x;;;;
ASS_ultranationalist;Assam Ultranationalist;;;;;;;;;;;;;x;;;;
