AZA;Azawad;;;;;;;;;;;;;x;;;;
AZA_ADJ;Azawad;;;;;;;;;;;;;x;;;;
AZA_social_democrat;Democratic Socialists of Azawad;;;;;;;;;;;;;x;;;;
AZA_socialist;Socialist Party of Azawad;;;;;;;;;;;;;x;;;;
AZA_communist;Azawad Revolutionary Party;;;;;;;;;;;;;x;;;;
AZA_liberal;Azawad Democratic Party;;;;;;;;;;;;;x;;;;
AZA_anarcho_liberal;Azawad Libertarian Party;;;;;;;;;;;;;x;;;;
AZA_green;Azawad Green Party;;;;;;;;;;;;;x;;;;
AZA_conservative;Azawad Republican Party;;;;;;;;;;;;;x;;;;
AZA_nationalist;Azawad Party;;;;;;;;;;;;;x;;;;
AZA_traditionalist;Azawad Constitution Party;;;;;;;;;;;;;x;;;;
AZA_ultranationalist;Azawad Ultranationalist;;;;;;;;;;;;;x;;;;
