AZB;Azerbaijan;;;;;;;;;;;;;x;;;;
AZB_ADJ;Azerbaijan;;;;;;;;;;;;;x;;;;
AZB_social_democrat;Democratic Socialists of Azerbaijan;;;;;;;;;;;;;x;;;;
AZB_socialist;Socialist Party of Azerbaijan;;;;;;;;;;;;;x;;;;
AZB_communist;Azerbaijan Revolutionary Party;;;;;;;;;;;;;x;;;;
AZB_liberal;Azerbaijan Democratic Party;;;;;;;;;;;;;x;;;;
AZB_anarcho_liberal;Azerbaijan Libertarian Party;;;;;;;;;;;;;x;;;;
AZB_green;Azerbaijan Green Party;;;;;;;;;;;;;x;;;;
AZB_conservative;Azerbaijan Republican Party;;;;;;;;;;;;;x;;;;
AZB_nationalist;Azerbaijan Party;;;;;;;;;;;;;x;;;;
AZB_traditionalist;Azerbaijan Constitution Party;;;;;;;;;;;;;x;;;;
AZB_ultranationalist;Azerbaijan Ultranationalist;;;;;;;;;;;;;x;;;;
