BAN;Bengal;;;;;;;;;;;;;x;;;;
BAN_ADJ;Bengali;;;;;;;;;;;;;x;;;;
BAN_social_democrat;Democratic Socialists of Bengal;;;;;;;;;;;;;x;;;;
BAN_socialist;Socialist Party of Bengal;;;;;;;;;;;;;x;;;;
BAN_communist;Bengal Revolutionary Party;;;;;;;;;;;;;x;;;;
BAN_liberal;Bengal Democratic Party;;;;;;;;;;;;;x;;;;
BAN_anarcho_liberal;Bengal Libertarian Party;;;;;;;;;;;;;x;;;;
BAN_green;Bengal Green Party;;;;;;;;;;;;;x;;;;
BAN_conservative;Bengal Republican Party;;;;;;;;;;;;;x;;;;
BAN_nationalist;Bengal Party;;;;;;;;;;;;;x;;;;
BAN_traditionalist;Bengal Constitution Party;;;;;;;;;;;;;x;;;;
BAN_ultranationalist;Bengal Ultranationalist;;;;;;;;;;;;;x;;;;
