BAO;Logone;;;;;;;;;;;;;x;;;;
BAO_ADJ;Logone;;;;;;;;;;;;;x;;;;
BAO_social_democrat;Democratic Socialists of Logone;;;;;;;;;;;;;x;;;;
BAO_socialist;Socialist Party of Logone;;;;;;;;;;;;;x;;;;
BAO_communist;Logone Revolutionary Party;;;;;;;;;;;;;x;;;;
BAO_liberal;Logone Democratic Party;;;;;;;;;;;;;x;;;;
BAO_anarcho_liberal;Logone Libertarian Party;;;;;;;;;;;;;x;;;;
BAO_green;Logone Green Party;;;;;;;;;;;;;x;;;;
BAO_conservative;Logone Republican Party;;;;;;;;;;;;;x;;;;
BAO_nationalist;Logone Party;;;;;;;;;;;;;x;;;;
BAO_traditionalist;Logone Constitution Party;;;;;;;;;;;;;x;;;;
BAO_ultranationalist;Logone Ultranationalist;;;;;;;;;;;;;x;;;;
