BEU;Benue;;;;;;;;;;;;;x;;;;
BEU_ADJ;Benue;;;;;;;;;;;;x;;;;
BEU_social_democrat;Social Democratic Party of Benue;;;;;;;;;;;;;x;;;;
BEU_socialist;Benue Independence Party;;;;;;;;;;;;;x;;;;
BEU_communist;Benue Revolutionary Party;;;;;;;;;;;;;x;;;;
BEU_liberal;Benue Democratic Party;;;;;;;;;;;;;x;;;;
BEU_anarcho_liberal;Benue Libertarian Party;;;;;;;;;;;;;x;;;;
BEU_green;Benue Green Party;;;;;;;;;;;;;x;;;;
BEU_conservative;Benue Conservative Party;;;;;;;;;;;;;x;;;;
BEU_nationalist;Benue Party;;;;;;;;;;;;;x;;;;
BEU_traditionalist;Benue Constitution Party;;;;;;;;;;;;;x;;;;
BEU_ultranationalist;Benue Ultranationalist;;;;;;;;;;;;;x;;;;
