BHI;Bhilistan;;;;;;;;;;;;;x;;;;
BHI_ADJ;Bhilistan;;;;;;;;;;;;;x;;;;
BHI_social_democrat;Democratic Socialists of Bhilistan;;;;;;;;;;;;;x;;;;
BHI_socialist;Socialist Party of Bhilistan;;;;;;;;;;;;;x;;;;
BHI_communist;Bhilistan Revolutionary Party;;;;;;;;;;;;;x;;;;
BHI_liberal;Bhilistan Democratic Party;;;;;;;;;;;;;x;;;;
BHI_anarcho_liberal;Bhilistan Libertarian Party;;;;;;;;;;;;;x;;;;
BHI_green;Bhilistan Green Party;;;;;;;;;;;;;x;;;;
BHI_conservative;Bhilistan Republican Party;;;;;;;;;;;;;x;;;;
BHI_nationalist;Bhilistan Party;;;;;;;;;;;;;x;;;;
BHI_traditionalist;Bhilistan Constitution Party;;;;;;;;;;;;;x;;;;
BHI_ultranationalist;Bhilistan Ultranationalist;;;;;;;;;;;;;x;;;;
