BIC;Bicolano;;;;;;;;;;;;;x;;;;
BIC_ADJ;Bicolano;;;;;;;;;;;;;x;;;;
BIC_social_democrat;Democratic Socialists of Bicolano;;;;;;;;;;;;;x;;;;
BIC_socialist;Socialist Party of Bicolano;;;;;;;;;;;;;x;;;;
BIC_communist;Bicolano Revolutionary Party;;;;;;;;;;;;;x;;;;
BIC_liberal;Bicolano Democratic Party;;;;;;;;;;;;;x;;;;
BIC_anarcho_liberal;Bicolano Libertarian Party;;;;;;;;;;;;;x;;;;
BIC_green;Bicolano Green Party;;;;;;;;;;;;;x;;;;
BIC_conservative;Bicolano Republican Party;;;;;;;;;;;;;x;;;;
BIC_nationalist;Bicolano Party;;;;;;;;;;;;;x;;;;
BIC_traditionalist;Bicolano Constitution Party;;;;;;;;;;;;;x;;;;
BIC_ultranationalist;Bicolano Ultranationalist;;;;;;;;;;;;;x;;;;
