BOT;Botswana;;;;;;;;;;;;;x;;;;
BOT_ADJ;Botswanan;;;;;;;;;;;;;x;;;;
BOT_social_democrat;Democratic Socialists of Botswana;;;;;;;;;;;;;x;;;;
BOT_socialist;Socialist Party of Botswana;;;;;;;;;;;;;x;;;;
BOT_communist;Botswana Revolutionary Party;;;;;;;;;;;;;x;;;;
BOT_liberal;Botswana Democratic Party;;;;;;;;;;;;;x;;;;
BOT_anarcho_liberal;Botswana Libertarian Party;;;;;;;;;;;;;x;;;;
BOT_green;Botswana Green Party;;;;;;;;;;;;;x;;;;
BOT_conservative;Botswana Republican Party;;;;;;;;;;;;;x;;;;
BOT_nationalist;Botswana Party;;;;;;;;;;;;;x;;;;
BOT_traditionalist;Botswana Constitution Party;;;;;;;;;;;;;x;;;;
BOT_ultranationalist;Botswana Ultranationalist;;;;;;;;;;;;;x;;;;
