BRA;Brazil;;;;;;;;;;;;;x;;;;
BRA_ADJ;Brazilian;;;;;;;;;;;;x;;;;
BRA_social_democrat;Democratic Socialists of Brazil;;;;;;;;;;;;;x;;;;
BRA_socialist;Brazil Independence Party;;;;;;;;;;;;;x;;;;
BRA_communist;Brazil Revolutionary Party;;;;;;;;;;;;;x;;;;
BRA_liberal;Brazil Democratic Party;;;;;;;;;;;;;x;;;;
BRA_anarcho_liberal;Brazil Libertarian Party;;;;;;;;;;;;;x;;;;
BRA_green;Brazil Green Party;;;;;;;;;;;;;x;;;;
BRA_conservative;Brazil Republican Party;;;;;;;;;;;;;x;;;;
BRA_nationalist;Brazil Party;;;;;;;;;;;;;x;;;;
BRA_traditionalist;Brazil Constitution Party;;;;;;;;;;;;;x;;;;
BRA_ultranationalist;Brazil Ultranationalist;;;;;;;;;;;;;x;;;;
