BUE;Buenos Aires;;;;;;;;;;;;;x;;;;
BUE_ADJ;Buenos Airesian;;;;;;;;;;;;;x;;;;
BUE_social_democrat;Democratic Socialists of Buenos Aires;;;;;;;;;;;;;x;;;;
BUE_socialist;Socialist Party of Buenos Aires;;;;;;;;;;;;;x;;;;
BUE_communist;Communist Party of Buenos Aires;;;;;;;;;;;;;x;;;;
BUE_liberal;Buenos Aires Democratic Party;;;;;;;;;;;;;x;;;;
BUE_anarcho_liberal;Buenos Aires Libertarian Party;;;;;;;;;;;;;x;;;;
BUE_green;Buenos Aires Green Party;;;;;;;;;;;;;x;;;;
BUE_conservative;Buenos Aires Republican Party;;;;;;;;;;;;;x;;;;
BUE_nationalist;Buenos Aires Party;;;;;;;;;;;;;x;;;;
BUE_traditionalist;Buenos Aires Constitution Party;;;;;;;;;;;;;x;;;;
BUE_ultranationalist;Buenos Aires Ultranationalist;;;;;;;;;;;;;x;;;;
