BLR;Byelorussia;;;;;;;;;;;;;x;;;;
BLR_ADJ;Byelorussian;;;;;;;;;;;;;x;;;;
BLR_social_democrat;Democratic Socialists of Byelorussia;;;;;;;;;;;;;x;;;;
BLR_socialist;Socialist Party of Byelorussia;;;;;;;;;;;;;x;;;;
BLR_communist;Byelorussia Revolutionary Party;;;;;;;;;;;;;x;;;;
BLR_liberal;Byelorussia Democratic Party;;;;;;;;;;;;;x;;;;
BLR_anarcho_liberal;Byelorussia Libertarian Party;;;;;;;;;;;;;x;;;;
BLR_green;Byelorussia Green Party;;;;;;;;;;;;;x;;;;
BLR_conservative;Byelorussia Republican Party;;;;;;;;;;;;;x;;;;
BLR_nationalist;Byelorussia Party;;;;;;;;;;;;;x;;;;
BLR_traditionalist;Byelorussia Constitution Party;;;;;;;;;;;;;x;;;;
BLR_ultranationalist;Byelorussia Ultranationalist;;;;;;;;;;;;;x;;;;
