CAE;Central Africa;;;;;;;;;;;;;x;;;;
CAE_ADJ;Empire of Central Africa;;;;;;;;;;;;;x;;;;
CAE_social_democrat;Democratic Socialists of Empire of Central Africa;;;;;;;;;;;;;x;;;;
CAE_socialist;Socialist Party of Empire of Central Africa;;;;;;;;;;;;;x;;;;
CAE_communist;Empire of Central Africa Revolutionary Party;;;;;;;;;;;;;x;;;;
CAE_liberal;Empire of Central Africa Democratic Party;;;;;;;;;;;;;x;;;;
CAE_anarcho_liberal;Empire of Central Africa Libertarian Party;;;;;;;;;;;;;x;;;;
CAE_green;Empire of Central Africa Green Party;;;;;;;;;;;;;x;;;;
CAE_conservative;Empire of Central Africa Republican Party;;;;;;;;;;;;;x;;;;
CAE_nationalist;Empire of Central Africa Party;;;;;;;;;;;;;x;;;;
CAE_traditionalist;Empire of Central Africa Constitution Party;;;;;;;;;;;;;x;;;;
CAE_ultranationalist;Empire of Central Africa Ultranationalist;;;;;;;;;;;;;x;;;;
