CAM;Cameroon;;;;;;;;;;;;;x;;;;
CAM_ADJ;Cameroon;;;;;;;;;;;;;x;;;;
CAM_social_democrat;Democratic Socialists of Cameroon;;;;;;;;;;;;;x;;;;
CAM_socialist;Socialist Party of Cameroon;;;;;;;;;;;;;x;;;;
CAM_communist;Cameroon Revolutionary Party;;;;;;;;;;;;;x;;;;
CAM_liberal;Cameroon Democratic Party;;;;;;;;;;;;;x;;;;
CAM_anarcho_liberal;Cameroon Libertarian Party;;;;;;;;;;;;;x;;;;
CAM_green;Cameroon Green Party;;;;;;;;;;;;;x;;;;
CAM_conservative;Cameroon Republican Party;;;;;;;;;;;;;x;;;;
CAM_nationalist;Cameroon Party;;;;;;;;;;;;;x;;;;
CAM_traditionalist;Cameroon Constitution Party;;;;;;;;;;;;;x;;;;
CAM_ultranationalist;Cameroon Ultranationalist;;;;;;;;;;;;;x;;;;
