CAR;Carolina;;;;;;;;;;;;;x;;;;
CAR_ADJ;Carolinian;;;;;;;;;;;;;x;;;;
CAR_social_democrat;Democratic Socialists of the Carolinas;;;;;;;;;;;;;x;;;;
CAR_socialist;Socialist Party of Carolina;;;;;;;;;;;;;x;;;;
CAR_communist;Communist Party of Carolina;;;;;;;;;;;;;x;;;;
CAR_liberal;Carolina Democratic Party;;;;;;;;;;;;;x;;;;
CAR_anarcho_liberal;Carolina Libertarian Party;;;;;;;;;;;;;x;;;;
CAR_green;Carolina Green Party;;;;;;;;;;;;;x;;;;
CAR_conservative;Carolina Republican Party;;;;;;;;;;;;;x;;;;
CAR_nationalist;Carolina Independence Party;;;;;;;;;;;;;x;;;;
CAR_traditionalist;Carolina Constitution Party;;;;;;;;;;;;;x;;;;
CAR_ultranationalist;Raleigh Initiative;;;;;;;;;;;;;x;;;;
