CUB;Cuba;;;;;;;;;;;;;x;;;;
CUB_ADJ;Cuban;;;;;;;;;;;;;x;;;;
CUB_social_democrat;Democratic Socialists of Cuba;;;;;;;;;;;;;x;;;;
CUB_socialist;Socialist Party of Cuba;;;;;;;;;;;;;x;;;;
CUB_communist;Communist Party of Cuba;;;;;;;;;;;;;x;;;;
CUB_liberal;Cuban Democratic Party;;;;;;;;;;;;;x;;;;
CUB_anarcho_liberal;Cuban Libertarian Party;;;;;;;;;;;;;x;;;;
CUB_green;Cuban Green Party;;;;;;;;;;;;;x;;;;
CUB_conservative;Cubaan Party;;;;;;;;;;;;;x;;;;
CUB_nationalist;Cuba Party;;;;;;;;;;;;;x;;;;
CUB_traditionalist;Cuban Constitution Party;;;;;;;;;;;;;x;;;;
CUB_ultranationalist;Cuban Ultranationalist;;;;;;;;;;;;;x;;;;
