DAF;Darfur;;;;;;;;;;;;;x;;;;
DAF_ADJ;Darfur;;;;;;;;;;;;;x;;;;
DAF_social_democrat;Democratic Socialists of Darfur;;;;;;;;;;;;;x;;;;
DAF_socialist;Socialist Party of Darfur;;;;;;;;;;;;;x;;;;
DAF_communist;Darfur Revolutionary Party;;;;;;;;;;;;;x;;;;
DAF_liberal;Darfur Democratic Party;;;;;;;;;;;;;x;;;;
DAF_anarcho_liberal;Darfur Libertarian Party;;;;;;;;;;;;;x;;;;
DAF_green;Darfur Green Party;;;;;;;;;;;;;x;;;;
DAF_conservative;Darfur Republican Party;;;;;;;;;;;;;x;;;;
DAF_nationalist;Darfur Party;;;;;;;;;;;;;x;;;;
DAF_traditionalist;Darfur Constitution Party;;;;;;;;;;;;;x;;;;
DAF_ultranationalist;Darfur Ultranationalist;;;;;;;;;;;;;x;;;;
