DOM;Dominican Republic;;;;;;;;;;;;;x;;;;
DOM_ADJ;Dominican;;;;;;;;;;;;;x;;;;
DOM_social_democrat;Democratic Socialists of Dominican Republic;;;;;;;;;;;;;x;;;;
DOM_socialist;Socialist Party of Dominican Republic;;;;;;;;;;;;;x;;;;
DOM_communist;Communist Party of Dominican Republic;;;;;;;;;;;;;x;;;;
DOM_liberal;Dominican Democratic Party;;;;;;;;;;;;;x;;;;
DOM_anarcho_liberal;Dominican Libertarian Party;;;;;;;;;;;;;x;;;;
DOM_green;Dominican Green Party;;;;;;;;;;;;;x;;;;
DOM_conservative;Dominican Republican Party;;;;;;;;;;;;;x;;;;
DOM_nationalist;Dominica Party;;;;;;;;;;;;;x;;;;
DOM_traditionalist;Dominican Constitution Party;;;;;;;;;;;;;x;;;;
DOM_ultranationalist;Dominican Ultranationalist;;;;;;;;;;;;;x;;;;
