ECA;East Canada;;;;;;;;;;;;;x;;;;
ECA_ADJ;East Canandian;;;;;;;;;;;;;x;;;;
ECA_social_democrat;East Canada New Democratic Party;;;;;;;;;;;;;x;;;;
ECA_socialist;Workers Party of Eastern Canada;;;;;;;;;;;;;x;;;;
ECA_communist;Marxist-Leninist Party of Eastern Canada;;;;;;;;;;;;;x;;;;
ECA_liberal;Liberal Party of Eastern Canada;;;;;;;;;;;;;x;;;;
ECA_anarcho_liberal;Libertarian Party of Eastern Canada;;;;;;;;;;;;;x;;;;
ECA_green;East Canada Green Party;;;;;;;;;;;;;x;;;;
ECA_conservative;Progressive Conservative Party of Eastern Canada;;;;;;;;;;;;;x;;;;
ECA_nationalist;Eastern Canada Autonomists;;;;;;;;;;;;;x;;;;
ECA_traditionalist;Eastern Social Credit Party;;;;;;;;;;;;;x;;;;
ECA_ultranationalist;Canadian Renovation Movement;;;;;;;;;;;;;x;;;;
