EDB;Edinburgh;;;;;;;;;;;;;x;;;;
EDB_ADJ;Edinburgh;;;;;;;;;;;;;x;;;;
EDB_social_democrat;Labour Party of Scotland;;;;;;;;;;;;;x;;;;
EDB_socialist;Scottish Socialist Party;;;;;;;;;;;;;x;;;;
EDB_communist;Communist Party of Great Britain;;;;;;;;;;;;;x;;;;
EDB_liberal;Liberal Party of Scotland;;;;;;;;;;;;;x;;;;
EDB_anarcho_liberal;Radical Party of Scotland;;;;;;;;;;;;;x;;;;
EDB_green;Green Party of Scotland;;;;;;;;;;;;;x;;;;
EDB_conservative;Scottish Conservative Party;;;;;;;;;;;;;x;;;;
EDB_nationalist;Scottish National Party;;;;;;;;;;;;;x;;;;
EDB_traditionalist;Conservative Party (Westminister);;;;;;;;;;;;;x;;;;
EDB_ultranationalist;Siol nan Gaidheal;;;;;;;;;;;;;x;;;;
