EGL;England;;;;;;;;;;;;;x;;;;
EGL_ADJ;English;;;;;;;;;;;;x;;;;
EGL_social_democrat;Labour Party;;;;;;;;;;;;;x;;;;
EGL_socialist;England Independence Party;;;;;;;;;;;;;x;;;;
EGL_communist;England Revolutionary Party;;;;;;;;;;;;;x;;;;
EGL_liberal;England Democratic Party;;;;;;;;;;;;;x;;;;
EGL_anarcho_liberal;England Libertarian Party;;;;;;;;;;;;;x;;;;
EGL_green;England Green Party;;;;;;;;;;;;;x;;;;
EGL_conservative;Tory Party;;;;;;;;;;;;;x;;;;
EGL_nationalist;England Party;;;;;;;;;;;;;x;;;;
EGL_traditionalist;England Constitution Party;;;;;;;;;;;;;x;;;;
EGL_ultranationalist;England Ultranationalist;;;;;;;;;;;;;x;;;;
