EGY;Egypt;;;;;;;;;;;;;x;;;;
EGY_ADJ;Egypt;;;;;;;;;;;;;x;;;;
EGY_social_democrat;Democratic Socialists of Egypt;;;;;;;;;;;;;x;;;;
EGY_socialist;Socialist Party of Egypt;;;;;;;;;;;;;x;;;;
EGY_communist;Egypt Revolutionary Party;;;;;;;;;;;;;x;;;;
EGY_liberal;Egypt Democratic Party;;;;;;;;;;;;;x;;;;
EGY_anarcho_liberal;Egypt Libertarian Party;;;;;;;;;;;;;x;;;;
EGY_green;Egypt Green Party;;;;;;;;;;;;;x;;;;
EGY_conservative;Egypt Republican Party;;;;;;;;;;;;;x;;;;
EGY_nationalist;Egypt Party;;;;;;;;;;;;;x;;;;
EGY_traditionalist;Egypt Constitution Party;;;;;;;;;;;;;x;;;;
EGY_ultranationalist;Egypt Ultranationalist;;;;;;;;;;;;;x;;;;
