EMX;East Mexico;;;;;;;;;;;;;x;;;;
EMX_ADJ;East Mexican;;;;;;;;;;;;;x;;;;
EMX_social_democrat;Social Democrats;;;;;;;;;;;;;x;;;;
EMX_socialist;Socialists;;;;;;;;;;;;;x;;;;
EMX_communist;Communists;;;;;;;;;;;;;x;;;;
EMX_liberal;Liberals;;;;;;;;;;;;;x;;;;
EMX_anarcho_liberal;Libertarians;;;;;;;;;;;;;x;;;;
EMX_green;Greens;;;;;;;;;;;;;x;;;;
EMX_conservative;Conservatives;;;;;;;;;;;;;x;;;;
EMX_nationalist;Nationalists;;;;;;;;;;;;;x;;;;
EMX_traditionalist;Traditionalists;;;;;;;;;;;;;x;;;;
EMX_ultranationalist;Ultranationalists;;;;;;;;;;;;;x;;;;
