ENG;England;;;;;;;;;;;;;x;;;;
ENG_ADJ;English;;;;;;;;;;;;x;;;;
ENG_social_democrat;Labour Party;;;;;;;;;;;;;x;;;;
ENG_socialist;England Independence Party;;;;;;;;;;;;;x;;;;
ENG_communist;England Revolutionary Party;;;;;;;;;;;;;x;;;;
ENG_liberal;England Democratic Party;;;;;;;;;;;;;x;;;;
ENG_anarcho_liberal;England Libertarian Party;;;;;;;;;;;;;x;;;;
ENG_green;England Green Party;;;;;;;;;;;;;x;;;;
ENG_conservative;Tory Party;;;;;;;;;;;;;x;;;;
ENG_nationalist;England Party;;;;;;;;;;;;;x;;;;
ENG_traditionalist;England Constitution Party;;;;;;;;;;;;;x;;;;
ENG_ultranationalist;England Ultranationalist;;;;;;;;;;;;;x;;;;
