EPN;Etat Pied Noir;;;;;;;;;;;;;x;;;;
EPN_ADJ;Pied Noir;;;;;;;;;;;;x;;;;
EPN_social_democrat;Democratic Socialists of the Netherlands;;;;;;;;;;;;;x;;;;
EPN_socialist;Pied Noir Independence Party;;;;;;;;;;;;;x;;;;
EPN_communist;Pied Noir Revolutionary Party;;;;;;;;;;;;;x;;;;
EPN_liberal;Pied Noir Democratic Party;;;;;;;;;;;;;x;;;;
EPN_anarcho_liberal;Pied Noir Libertarian Party;;;;;;;;;;;;;x;;;;
EPN_green;Pied Noir Green Party;;;;;;;;;;;;;x;;;;
EPN_conservative;Pied Noir Republican Party;;;;;;;;;;;;;x;;;;
EPN_nationalist;Pied Noir Party;;;;;;;;;;;;;x;;;;
EPN_traditionalist;Pied Noir Constitution Party;;;;;;;;;;;;;x;;;;
EPN_ultranationalist;Pied Noir Ultranationalist;;;;;;;;;;;;;x;;;;
