ETR;Entre Rios;;;;;;;;;;;;;x;;;;
ETR_ADJ;Entre Rios;;;;;;;;;;;;;x;;;;
ETR_social_democrat;Democratic Socialists of Entre Rios;;;;;;;;;;;;;x;;;;
ETR_socialist;Socialist Party of Entre Rios;;;;;;;;;;;;;x;;;;
ETR_communist;Workers' Revolutionary Party;;;;;;;;;;;;;x;;;;
ETR_liberal;Entre Rios Democratic Party;;;;;;;;;;;;;x;;;;
ETR_anarcho_liberal;Entre Rios Libertarian Party;;;;;;;;;;;;;x;;;;
ETR_green;Entre Rios Green Party;;;;;;;;;;;;;x;;;;
ETR_conservative;Entre Rios Republican Party;;;;;;;;;;;;;x;;;;
ETR_nationalist;Entre Rios Party;;;;;;;;;;;;;x;;;;
ETR_traditionalist;Entre Rios Constitution Party;;;;;;;;;;;;;x;;;;
ETR_ultranationalist;Entre Rios Ultranationalist;;;;;;;;;;;;;x;;;;
