FGU;Guiana;;;;;;;;;;;;;x;;;;
FGU_ADJ;Guianan;;;;;;;;;;;;;x;;;;
FGU_social_democrat;Democratic Socialists of Guiana;;;;;;;;;;;;;x;;;;
FGU_socialist;Socialist Party of Guiana;;;;;;;;;;;;;x;;;;
FGU_communist;Communist Party of Guiana;;;;;;;;;;;;;x;;;;
FGU_liberal;Guianan Democratic Party;;;;;;;;;;;;;x;;;;
FGU_anarcho_liberal;Guianan Libertarian Party;;;;;;;;;;;;;x;;;;
FGU_green;Guianan Green Party;;;;;;;;;;;;;x;;;;
FGU_conservative;Guianan Republican Party;;;;;;;;;;;;;x;;;;
FGU_nationalist;Guianan Party;;;;;;;;;;;;;x;;;;
FGU_traditionalist;Guianan Constitution Party;;;;;;;;;;;;;x;;;;
FGU_ultranationalist;Guianan Ultranationalist;;;;;;;;;;;;;x;;;;
