FIN;Finland;;;;;;;;;;;;;x;;;;
FIN_ADJ;Finland;;;;;;;;;;;;;x;;;;
FIN_social_democrat;Democratic Socialists of Finland;;;;;;;;;;;;;x;;;;
FIN_socialist;Socialist Party of Finland;;;;;;;;;;;;;x;;;;
FIN_communist;Finland Revolutionary Party;;;;;;;;;;;;;x;;;;
FIN_liberal;Finland Democratic Party;;;;;;;;;;;;;x;;;;
FIN_anarcho_liberal;Finland Libertarian Party;;;;;;;;;;;;;x;;;;
FIN_green;Finland Green Party;;;;;;;;;;;;;x;;;;
FIN_conservative;Finland Republican Party;;;;;;;;;;;;;x;;;;
FIN_nationalist;Finland Party;;;;;;;;;;;;;x;;;;
FIN_traditionalist;Finland Constitution Party;;;;;;;;;;;;;x;;;;
FIN_ultranationalist;Finland Ultranationalist;;;;;;;;;;;;;x;;;;
