FLO;Flores;;;;;;;;;;;;;x;;;;
FLO_ADJ;Flores;;;;;;;;;;;;;x;;;;
FLO_social_democrat;Democratic Socialists of Flores;;;;;;;;;;;;;x;;;;
FLO_socialist;Socialist Party of Flores;;;;;;;;;;;;;x;;;;
FLO_communist;Flores Revolutionary Party;;;;;;;;;;;;;x;;;;
FLO_liberal;Flores Democratic Party;;;;;;;;;;;;;x;;;;
FLO_anarcho_liberal;Flores Libertarian Party;;;;;;;;;;;;;x;;;;
FLO_green;Flores Green Party;;;;;;;;;;;;;x;;;;
FLO_conservative;Flores Republican Party;;;;;;;;;;;;;x;;;;
FLO_nationalist;Flores Party;;;;;;;;;;;;;x;;;;
FLO_traditionalist;Flores Constitution Party;;;;;;;;;;;;;x;;;;
FLO_ultranationalist;Flores Ultranationalist;;;;;;;;;;;;;x;;;;
