FRA;France;;;;;;;;;;;;;x;;;;
FRA_ADJ;French;;;;;;;;;;;;x;;;;
FRA_social_democrat;Democratic Socialists of France;;;;;;;;;;;;;x;;;;
FRA_socialist;France Independence Party;;;;;;;;;;;;;x;;;;
FRA_communist;France Revolutionary Party;;;;;;;;;;;;;x;;;;
FRA_liberal;France Democratic Party;;;;;;;;;;;;;x;;;;
FRA_anarcho_liberal;France Libertarian Party;;;;;;;;;;;;;x;;;;
FRA_green;France Green Party;;;;;;;;;;;;;x;;;;
FRA_conservative;France Republican Party;;;;;;;;;;;;;x;;;;
FRA_nationalist;France Party;;;;;;;;;;;;;x;;;;
FRA_traditionalist;France Constitution Party;;;;;;;;;;;;;x;;;;
FRA_ultranationalist;France Ultranationalist;;;;;;;;;;;;;x;;;;
