GBN;Royal Navy;;;;;;;;;;;;;x;;;;
GBN_democracy;Inverness;;;;;;;;;;;;;x;;;;
GBN_defensive_democracy;Imperial Federation;;;;;;;;;;;;;x;;;;
GBN_limited_democracy;Inverness;;;;;;;;;;;;;x;;;;
GBN_socialist_democracy;Inverness;;;;;;;;;;;;;x;;;;
GBN_socialist_dictatorship;Inverness;;;;;;;;;;;;;x;;;;
GBN_communist_state;Inverness;;;;;;;;;;;;;x;;;;
GBN_minarchist_state;Inverness;;;;;;;;;;;;;x;;;;
GBN_eco_state;Inverness;;;;;;;;;;;;;x;;;;
GBN_auth_democracy;British Royal Navy;;;;;;;;;;;;;x;;;;
GBN_nat_dictatorship;British Royal Navy;;;;;;;;;;;;;x;;;;
GBN_theo_dictatorship;British Royal Navy;;;;;;;;;;;;;x;;;;
GBN_ultranat_dictatorship;Empire of Great Britain;;;;;;;;;;;;;x;;;;
GBN_ADJ;British;;;;;;;;;;;;;x;;;;
GBN_social_democrat;Labour Party;;;;;;;;;;;;;x;;;;
GBN_socialist;Scottish National Party;;;;;;;;;;;;;x;;;;
GBN_communist;Communist Party of Great Britain;;;;;;;;;;;;;x;;;;
GBN_liberal;Liberal Party;;;;;;;;;;;;;x;;;;
GBN_anarcho_liberal;Radical Party of Inverness;;;;;;;;;;;;;x;;;;
GBN_green;Inverness Green Party;;;;;;;;;;;;;x;;;;
GBN_conservative;Conservative Party;;;;;;;;;;;;;x;;;;
GBN_nationalist;Inverness Citizens Party;;;;;;;;;;;;;x;;;;
GBN_traditionalist;British Union Movement (Queensmen);;;;;;;;;;;;;x;;;;
GBN_ultranationalist;British Union Movement (Irredentists);;;;;;;;;;;;;x;;;;
GBN_starting_event_draft;The United Kingdom was once one of the superpowers of the world. With a navy unsurpased by any other. Now that navy is all that is left, reduced to a mere rump state controlling several far flung islands;;;;;;;;;;;;;x;;;;
