GBR;United Kingdom;;;;;;;;;;;;;x;;;;
GBR_ADJ;United Kingdom;;;;;;;;;;;;;x;;;;
GBR_social_democrat;Labour Party;;;;;;;;;;;;;x;;;;
GBR_socialist;Socialist Party of United Kingdom;;;;;;;;;;;;;x;;;;
GBR_communist;United Kingdom Revolutionary Party;;;;;;;;;;;;;x;;;;
GBR_liberal;Liberal Democrats;;;;;;;;;;;;;x;;;;
GBR_anarcho_liberal;United Kingdom Libertarian Party;;;;;;;;;;;;;x;;;;
GBR_green;United Kingdom Green Party;;;;;;;;;;;;;x;;;;
GBR_conservative;Tory Party;;;;;;;;;;;;;x;;;;
GBR_nationalist;United Kingdom Party;;;;;;;;;;;;;x;;;;
GBR_traditionalist;United Kingdom Constitution Party;;;;;;;;;;;;;x;;;;
GBR_ultranationalist;United Kingdom Ultranationalist;;;;;;;;;;;;;x;;;;
GBR_unified;British Isles;;;;;;;;;;;;;x;;;;
GBR_unification_GBN_title;Restore the United Kingdom;;;;;;;;;;;;;x;;;;
GBR_unification_GBN_desc;We the royal navy have done the unthinkable, and reunited the British Isles. It is time to reestablish the United Kingdom of Great Britian and reclaim our rightful spot as a great power.;;;;;;;;;;;;;x;;;;
#GBR_unified;United Kingdom;;;;;;;;;;;;;x;;;;
