GEO;Georgia;;;;;;;;;;;;;x;;;;
GEO_ADJ;Georgian;;;;;;;;;;;;;x;;;;
GEO_social_democrat;Democratic Socialists of Georgia;;;;;;;;;;;;;x;;;;
GEO_socialist;Socialist Party of Georgia;;;;;;;;;;;;;x;;;;
GEO_communist;Georgia Revolutionary Party;;;;;;;;;;;;;x;;;;
GEO_liberal;Georgia Democratic Party;;;;;;;;;;;;;x;;;;
GEO_anarcho_liberal;Georgia Libertarian Party;;;;;;;;;;;;;x;;;;
GEO_green;Georgia Green Party;;;;;;;;;;;;;x;;;;
GEO_conservative;Georgia Republican Party;;;;;;;;;;;;;x;;;;
GEO_nationalist;Georgia Party;;;;;;;;;;;;;x;;;;
GEO_traditionalist;Georgia Constitution Party;;;;;;;;;;;;;x;;;;
GEO_ultranationalist;Georgia Ultranationalist;;;;;;;;;;;;;x;;;;
