GHA;Ghana;;;;;;;;;;;;;x;;;;
GHA_ADJ;Ghanaian;;;;;;;;;;;;;x;;;;
GHA_social_democrat;Democratic Socialists of Ghana;;;;;;;;;;;;;x;;;;
GHA_socialist;Socialist Party of Ghana;;;;;;;;;;;;;x;;;;
GHA_communist;Ghana Revolutionary Party;;;;;;;;;;;;;x;;;;
GHA_liberal;Ghana Democratic Party;;;;;;;;;;;;;x;;;;
GHA_anarcho_liberal;Ghana Libertarian Party;;;;;;;;;;;;;x;;;;
GHA_green;Ghana Green Party;;;;;;;;;;;;;x;;;;
GHA_conservative;Ghana Republican Party;;;;;;;;;;;;;x;;;;
GHA_nationalist;Ghana Party;;;;;;;;;;;;;x;;;;
GHA_traditionalist;Ghana Constitution Party;;;;;;;;;;;;;x;;;;
GHA_ultranationalist;Ghana Ultranationalist;;;;;;;;;;;;;x;;;;
