GIB;Guinea-Bissau;;;;;;;;;;;;;x;;;;
GIB_ADJ;Guinea-Bissau;;;;;;;;;;;;x;;;;
GIB_social_democrat;Social Democratic Party of Guinea-Bissau;;;;;;;;;;;;;x;;;;
GIB_socialist;Guinea-Bissau Independence Party;;;;;;;;;;;;;x;;;;
GIB_communist;Guinea-Bissau Revolutionary Party;;;;;;;;;;;;;x;;;;
GIB_liberal;Guinea-Bissau Democratic Party;;;;;;;;;;;;;x;;;;
GIB_anarcho_liberal;Guinea-Bissau Libertarian Party;;;;;;;;;;;;;x;;;;
GIB_green;Guinea-Bissau Green Party;;;;;;;;;;;;;x;;;;
GIB_conservative;Guinea-Bissau Conservative Party;;;;;;;;;;;;;x;;;;
GIB_nationalist;Guinea-Bissau Party;;;;;;;;;;;;;x;;;;
GIB_traditionalist;Guinea-Bissau Constitution Party;;;;;;;;;;;;;x;;;;
GIB_ultranationalist;Guinea-Bissau Ultranationalist;;;;;;;;;;;;;x;;;;
