GTM;Greater Timor;;;;;;;;;;;;;x;;;;
GTM_ADJ;Greater Timor;;;;;;;;;;;;;x;;;;
GTM_social_democrat;Democratic Socialists of Greater Timor;;;;;;;;;;;;;x;;;;
GTM_socialist;Socialist Party of Greater Timor;;;;;;;;;;;;;x;;;;
GTM_communist;Greater Timor Revolutionary Party;;;;;;;;;;;;;x;;;;
GTM_liberal;Greater Timor Democratic Party;;;;;;;;;;;;;x;;;;
GTM_anarcho_liberal;Greater Timor Libertarian Party;;;;;;;;;;;;;x;;;;
GTM_green;Greater Timor Green Party;;;;;;;;;;;;;x;;;;
GTM_conservative;Greater Timor Republican Party;;;;;;;;;;;;;x;;;;
GTM_nationalist;Greater Timor Party;;;;;;;;;;;;;x;;;;
GTM_traditionalist;Greater Timor Constitution Party;;;;;;;;;;;;;x;;;;
GTM_ultranationalist;Greater Timor Ultranationalist;;;;;;;;;;;;;x;;;;
