GUA;Guatemala;;;;;;;;;;;;;x;;;;
GUA_ADJ;Guatemala;;;;;;;;;;;;;x;;;;
GUA_social_democrat;Democratic Socialists of Guatemala;;;;;;;;;;;;;x;;;;
GUA_socialist;Socialist Party of Guatemala;;;;;;;;;;;;;x;;;;
GUA_communist;Communist Party of Guatemala;;;;;;;;;;;;;x;;;;
GUA_liberal;Guatemala Democratic Party;;;;;;;;;;;;;x;;;;
GUA_anarcho_liberal;Guatemala Libertarian Party;;;;;;;;;;;;;x;;;;
GUA_green;Guatemala Green Party;;;;;;;;;;;;;x;;;;
GUA_conservative;Guatemala Republican Party;;;;;;;;;;;;;x;;;;
GUA_nationalist;Guatemala Nationalist Party;;;;;;;;;;;;;x;;;;
GUA_traditionalist;Guatemala Constitution Party;;;;;;;;;;;;;x;;;;
GUA_ultranationalist;Guatemala Ultranationalist;;;;;;;;;;;;;x;;;;
