GUE;Guernsey;;;;;;;;;;;;;x;;;;
GUE_ADJ;Guernsey;;;;;;;;;;;;x;;;;
GUE_social_democrat;Democratic Socialists of Guernsey;;;;;;;;;;;;;x;;;;
GUE_socialist;Guernsey Independence Party;;;;;;;;;;;;;x;;;;
GUE_communist;Guernsey Revolutionary Party;;;;;;;;;;;;;x;;;;
GUE_liberal;Guernsey Democratic Party;;;;;;;;;;;;;x;;;;
GUE_anarcho_liberal;Guernsey Libertarian Party;;;;;;;;;;;;;x;;;;
GUE_green;Guernsey Green Party;;;;;;;;;;;;;x;;;;
GUE_conservative;Guernsey Republican Party;;;;;;;;;;;;;x;;;;
GUE_nationalist;Guernsey Party;;;;;;;;;;;;;x;;;;
GUE_traditionalist;Guernsey Constitution Party;;;;;;;;;;;;;x;;;;
GUE_ultranationalist;Guernsey Ultranationalist;;;;;;;;;;;;;x;;;;
