GUI;Guinea;;;;;;;;;;;;;x;;;;
GUI_ADJ;Guinean;;;;;;;;;;;;;x;;;;
GUI_social_democrat;Democratic Socialists of Guinea;;;;;;;;;;;;;x;;;;
GUI_socialist;Socialist Party of Guinea;;;;;;;;;;;;;x;;;;
GUI_communist;Guinea Revolutionary Party;;;;;;;;;;;;;x;;;;
GUI_liberal;Guinea Democratic Party;;;;;;;;;;;;;x;;;;
GUI_anarcho_liberal;Guinea Libertarian Party;;;;;;;;;;;;;x;;;;
GUI_green;Guinea Green Party;;;;;;;;;;;;;x;;;;
GUI_conservative;Guinea Republican Party;;;;;;;;;;;;;x;;;;
GUI_nationalist;Guinea Party;;;;;;;;;;;;;x;;;;
GUI_traditionalist;Guinea Constitution Party;;;;;;;;;;;;;x;;;;
GUI_ultranationalist;Guinea Ultranationalist;;;;;;;;;;;;;x;;;;
