HAI;Haiti;;;;;;;;;;;;;x;;;;
HAI_ADJ;Bahaman;;;;;;;;;;;;;x;;;;
HAI_social_democrat;Democratic Socialists of Haiti;;;;;;;;;;;;;x;;;;
HAI_socialist;Socialist Party of Haiti;;;;;;;;;;;;;x;;;;
HAI_communist;Communist Party of Haiti;;;;;;;;;;;;;x;;;;
HAI_liberal;Haiti Democratic Party;;;;;;;;;;;;;x;;;;
HAI_anarcho_liberal;Haiti Libertarian Party;;;;;;;;;;;;;x;;;;
HAI_green;Haitian Green Party;;;;;;;;;;;;;x;;;;
HAI_conservative;Haiti Republican Party;;;;;;;;;;;;;x;;;;
HAI_nationalist;Bahaman Independence Party;;;;;;;;;;;;;x;;;;
HAI_traditionalist;Haiti Constitution Party;;;;;;;;;;;;;x;;;;
HAI_ultranationalist;Haitian Ultranationalist;;;;;;;;;;;;;x;;;;
