HND;India;;;;;;;;;;;;;x;;;;
HND_ADJ;Indian;;;;;;;;;;;;;x;;;;
HND_social_democrat;Democratic Socialists of India;;;;;;;;;;;;;x;;;;
HND_socialist;Socialist Party of India;;;;;;;;;;;;;x;;;;
HND_communist;India Revolutionary Party;;;;;;;;;;;;;x;;;;
HND_liberal;India Democratic Party;;;;;;;;;;;;;x;;;;
HND_anarcho_liberal;India Libertarian Party;;;;;;;;;;;;;x;;;;
HND_green;India Green Party;;;;;;;;;;;;;x;;;;
HND_conservative;India Republican Party;;;;;;;;;;;;;x;;;;
HND_nationalist;India Party;;;;;;;;;;;;;x;;;;
HND_traditionalist;India Constitution Party;;;;;;;;;;;;;x;;;;
HND_ultranationalist;India Ultranationalist;;;;;;;;;;;;;x;;;;
