HNN;Hunan;;;;;;;;;;;;;x;;;;
HNN_ADJ;Hunan;;;;;;;;;;;;;x;;;;
HNN_social_democrat;Democratic Socialists of Hunan;;;;;;;;;;;;;x;;;;
HNN_socialist;Socialist Party of Hunan;;;;;;;;;;;;;x;;;;
HNN_communist;Hunan Revolutionary Party;;;;;;;;;;;;;x;;;;
HNN_liberal;Hunan Democratic Party;;;;;;;;;;;;;x;;;;
HNN_anarcho_liberal;Hunan Libertarian Party;;;;;;;;;;;;;x;;;;
HNN_green;Hunan Green Party;;;;;;;;;;;;;x;;;;
HNN_conservative;Hunan Republican Party;;;;;;;;;;;;;x;;;;
HNN_nationalist;Hunan Party;;;;;;;;;;;;;x;;;;
HNN_traditionalist;Hunan Constitution Party;;;;;;;;;;;;;x;;;;
HNN_ultranationalist;Hunan Ultranationalist;;;;;;;;;;;;;x;;;;
