HON;Honduras;;;;;;;;;;;;;x;;;;
HON_ADJ;Honduran;;;;;;;;;;;;;x;;;;
HON_social_democrat;Democratic Socialists of Honduras;;;;;;;;;;;;;x;;;;
HON_socialist;Socialist Party of Honduras;;;;;;;;;;;;;x;;;;
HON_communist;Communist Party of Honduras;;;;;;;;;;;;;x;;;;
HON_liberal;Honduras Democratic Party;;;;;;;;;;;;;x;;;;
HON_anarcho_liberal;Honduras Libertarian Party;;;;;;;;;;;;;x;;;;
HON_green;Honduras Green Party;;;;;;;;;;;;;x;;;;
HON_conservative;Honduras Party;;;;;;;;;;;;;x;;;;
HON_nationalist;Honduras Party;;;;;;;;;;;;;x;;;;
HON_traditionalist;Honduras Constitution Party;;;;;;;;;;;;;x;;;;
HON_ultranationalist;Honduras Ultranationalist;;;;;;;;;;;;;x;;;;
