HUB;Hubei;;;;;;;;;;;;;x;;;;
HUB_ADJ;Hubei;;;;;;;;;;;;;x;;;;
HUB_social_democrat;Democratic Socialists of Hubei;;;;;;;;;;;;;x;;;;
HUB_socialist;Socialist Party of Hubei;;;;;;;;;;;;;x;;;;
HUB_communist;Hubei Revolutionary Party;;;;;;;;;;;;;x;;;;
HUB_liberal;Hubei Democratic Party;;;;;;;;;;;;;x;;;;
HUB_anarcho_liberal;Hubei Libertarian Party;;;;;;;;;;;;;x;;;;
HUB_green;Hubei Green Party;;;;;;;;;;;;;x;;;;
HUB_conservative;Hubei Republican Party;;;;;;;;;;;;;x;;;;
HUB_nationalist;Hubei Party;;;;;;;;;;;;;x;;;;
HUB_traditionalist;Hubei Constitution Party;;;;;;;;;;;;;x;;;;
HUB_ultranationalist;Hubei Ultranationalist;;;;;;;;;;;;;x;;;;
