HYD;Hyderabad;;;;;;;;;;;;;x;;;;
HYD_ADJ;Hyderabad;;;;;;;;;;;;;x;;;;
HYD_social_democrat;Democratic Socialists of Hyderabad;;;;;;;;;;;;;x;;;;
HYD_socialist;Socialist Party of Hyderabad;;;;;;;;;;;;;x;;;;
HYD_communist;Hyderabad Revolutionary Party;;;;;;;;;;;;;x;;;;
HYD_liberal;Hyderabad Democratic Party;;;;;;;;;;;;;x;;;;
HYD_anarcho_liberal;Hyderabad Libertarian Party;;;;;;;;;;;;;x;;;;
HYD_green;Hyderabad Green Party;;;;;;;;;;;;;x;;;;
HYD_conservative;Hyderabad Republican Party;;;;;;;;;;;;;x;;;;
HYD_nationalist;Hyderabad Party;;;;;;;;;;;;;x;;;;
HYD_traditionalist;Hyderabad Constitution Party;;;;;;;;;;;;;x;;;;
HYD_ultranationalist;Hyderabad Ultranationalist;;;;;;;;;;;;;x;;;;
