INR;Indonesian Army;;;;;;;;;;;;;x;;;;
INR_ADJ;Indonesian;;;;;;;;;;;;;x;;;;
INR_social_democrat;Democratic Socialists of Indonesia;;;;;;;;;;;;;x;;;;
INR_socialist;Socialist Party of Indonesia;;;;;;;;;;;;;x;;;;
INR_communist;Indonesia Revolutionary Party;;;;;;;;;;;;;x;;;;
INR_liberal;Indonesia Democratic Party;;;;;;;;;;;;;x;;;;
INR_anarcho_liberal;Indonesia Libertarian Party;;;;;;;;;;;;;x;;;;
INR_green;Indonesia Green Party;;;;;;;;;;;;;x;;;;
INR_conservative;Indonesia Republican Party;;;;;;;;;;;;;x;;;;
INR_nationalist;Indonesia Party;;;;;;;;;;;;;x;;;;
INR_traditionalist;Indonesia Constitution Party;;;;;;;;;;;;;x;;;;
INR_ultranationalist;Indonesia Ultranationalist;;;;;;;;;;;;;x;;;;
