ISS;Islamic State;;;;;;;;;;;;;x;;;;
ISS_ADJ;Islamic;;;;;;;;;;;;x;;;;
ISS_social_democrat;Social Democratic Party of Islam;;;;;;;;;;;;;x;;;;
ISS_socialist;Islamic Independence Party;;;;;;;;;;;;;x;;;;
ISS_communist;Islamic Revolutionary Party;;;;;;;;;;;;;x;;;;
ISS_liberal;Islamic Democratic Party;;;;;;;;;;;;;x;;;;
ISS_anarcho_liberal;Islamic Libertarian Party;;;;;;;;;;;;;x;;;;
ISS_green;Islamic Green Party;;;;;;;;;;;;;x;;;;
ISS_conservative;Islamic Conservative Party;;;;;;;;;;;;;x;;;;
ISS_nationalist;Islam Party;;;;;;;;;;;;;x;;;;
ISS_traditionalist;Islamic Constitution Party;;;;;;;;;;;;;x;;;;
ISS_ultranationalist;Islamic Ultranationalist;;;;;;;;;;;;;x;;;;
