ITA;Italy;;;;;;;;;;;;;x;;;;
ITA_ADJ;Italian;;;;;;;;;;;;;x;;;;
ITA_social_democrat;Democratic Socialists of Italy;;;;;;;;;;;;;x;;;;
ITA_socialist;Socialist Party of Italy;;;;;;;;;;;;;x;;;;
ITA_communist;Italy Revolutionary Party;;;;;;;;;;;;;x;;;;
ITA_liberal;Italy Democratic Party;;;;;;;;;;;;;x;;;;
ITA_anarcho_liberal;Italy Libertarian Party;;;;;;;;;;;;;x;;;;
ITA_green;Italy Green Party;;;;;;;;;;;;;x;;;;
ITA_conservative;Italy Republican Party;;;;;;;;;;;;;x;;;;
ITA_nationalist;Italy Party;;;;;;;;;;;;;x;;;;
ITA_traditionalist;Italy Constitution Party;;;;;;;;;;;;;x;;;;
ITA_ultranationalist;Italy Ultranationalist;;;;;;;;;;;;;x;;;;
