JAM;Jamaica;;;;;;;;;;;;;x;;;;
JAM_ADJ;Jamaican;;;;;;;;;;;;;x;;;;
JAM_social_democrat;Democratic Socialists of Jamaica;;;;;;;;;;;;;x;;;;
JAM_socialist;Socialist Party of Jamaica;;;;;;;;;;;;;x;;;;
JAM_communist;Communist Party of Jamaica;;;;;;;;;;;;;x;;;;
JAM_liberal;Jamaican Democratic Party;;;;;;;;;;;;;x;;;;
JAM_anarcho_liberal;Jamaican Libertarian Party;;;;;;;;;;;;;x;;;;
JAM_green;Jamaican Green Party;;;;;;;;;;;;;x;;;;
JAM_conservative;Jamaican Republican Party;;;;;;;;;;;;;x;;;;
JAM_nationalist;Jamaican Nationalist Party;;;;;;;;;;;;;x;;;;
JAM_traditionalist;Jamaican Constitution Party;;;;;;;;;;;;;x;;;;
JAM_ultranationalist;Jamaican Ultranationalist;;;;;;;;;;;;;x;;;;
