JAP;Japan;;;;;;;;;;;;;x;;;;
JAP_ADJ;Japan;;;;;;;;;;;;;x;;;;
JAP_social_democrat;Democratic Socialists of Japan;;;;;;;;;;;;;x;;;;
JAP_socialist;Socialist Party of Japan;;;;;;;;;;;;;x;;;;
JAP_communist;Japan Revolutionary Party;;;;;;;;;;;;;x;;;;
JAP_liberal;Japan Democratic Party;;;;;;;;;;;;;x;;;;
JAP_anarcho_liberal;Japan Libertarian Party;;;;;;;;;;;;;x;;;;
JAP_green;Japan Green Party;;;;;;;;;;;;;x;;;;
JAP_conservative;Japan Republican Party;;;;;;;;;;;;;x;;;;
JAP_nationalist;Japan Party;;;;;;;;;;;;;x;;;;
JAP_traditionalist;Japan Constitution Party;;;;;;;;;;;;;x;;;;
JAP_ultranationalist;Japan Ultranationalist;;;;;;;;;;;;;x;;;;
