KAP;Karakalpakstan;;;;;;;;;;;;;x;;;;
KAP_ADJ;Karakalpakstan;;;;;;;;;;;;;x;;;;
KAP_social_democrat;Democratic Socialists of Karakalpakstan;;;;;;;;;;;;;x;;;;
KAP_socialist;Socialist Party of Karakalpakstan;;;;;;;;;;;;;x;;;;
KAP_communist;Karakalpakstan Revolutionary Party;;;;;;;;;;;;;x;;;;
KAP_liberal;Karakalpakstan Democratic Party;;;;;;;;;;;;;x;;;;
KAP_anarcho_liberal;Karakalpakstan Libertarian Party;;;;;;;;;;;;;x;;;;
KAP_green;Karakalpakstan Green Party;;;;;;;;;;;;;x;;;;
KAP_conservative;Karakalpakstan Republican Party;;;;;;;;;;;;;x;;;;
KAP_nationalist;Karakalpakstan Party;;;;;;;;;;;;;x;;;;
KAP_traditionalist;Karakalpakstan Constitution Party;;;;;;;;;;;;;x;;;;
KAP_ultranationalist;Karakalpakstan Ultranationalist;;;;;;;;;;;;;x;;;;
