KRD;Kurdistan;;;;;;;;;;;;;x;;;;
KRD_ADJ;Kurd;;;;;;;;;;;;;x;;;;
KRD_social_democrat;Democratic Socialists of Kurdistan;;;;;;;;;;;;;x;;;;
KRD_socialist;Socialist Party of Kurdistan;;;;;;;;;;;;;x;;;;
KRD_communist;Kurdistan Revolutionary Party;;;;;;;;;;;;;x;;;;
KRD_liberal;Kurdistan Democratic Party;;;;;;;;;;;;;x;;;;
KRD_anarcho_liberal;Kurdistan Libertarian Party;;;;;;;;;;;;;x;;;;
KRD_green;Kurdistan Green Party;;;;;;;;;;;;;x;;;;
KRD_conservative;Kurdistan Republican Party;;;;;;;;;;;;;x;;;;
KRD_nationalist;Kurdistan Party;;;;;;;;;;;;;x;;;;
KRD_traditionalist;Kurdistan Constitution Party;;;;;;;;;;;;;x;;;;
KRD_ultranationalist;Kurdistan Ultranationalist;;;;;;;;;;;;;x;;;;
