KRN;Karen;;;;;;;;;;;;;x;;;;
KRN_ADJ;Karen;;;;;;;;;;;;;x;;;;
KRN_social_democrat;Democratic Socialists of Karen;;;;;;;;;;;;;x;;;;
KRN_socialist;Socialist Party of Karen;;;;;;;;;;;;;x;;;;
KRN_communist;Karen Revolutionary Party;;;;;;;;;;;;;x;;;;
KRN_liberal;Karen Democratic Party;;;;;;;;;;;;;x;;;;
KRN_anarcho_liberal;Karen Libertarian Party;;;;;;;;;;;;;x;;;;
KRN_green;Karen Green Party;;;;;;;;;;;;;x;;;;
KRN_conservative;Karen Republican Party;;;;;;;;;;;;;x;;;;
KRN_nationalist;Karen Party;;;;;;;;;;;;;x;;;;
KRN_traditionalist;Karen Constitution Party;;;;;;;;;;;;;x;;;;
KRN_ultranationalist;Karen Ultranationalist;;;;;;;;;;;;;x;;;;
