KRU;Liberia;;;;;;;;;;;;;x;;;;
KRU_ADJ;Liberian;;;;;;;;;;;;x;;;;
KRU_social_democrat;Democratic Socialists of Liberia;;;;;;;;;;;;;x;;;;
KRU_socialist;African Independence Party;;;;;;;;;;;;;x;;;;
KRU_communist;Liberia Revolutionary Party;;;;;;;;;;;;;x;;;;
KRU_liberal;Liberia Democratic Party;;;;;;;;;;;;;x;;;;
KRU_anarcho_liberal;Liberia Libertarian Party;;;;;;;;;;;;;x;;;;
KRU_green;Liberia Green Party;;;;;;;;;;;;;x;;;;
KRU_conservative;Liberia Republican Party;;;;;;;;;;;;;x;;;;
KRU_nationalist;Liberia Party;;;;;;;;;;;;;x;;;;
KRU_traditionalist;Liberia Constitution Party;;;;;;;;;;;;;x;;;;
KRU_ultranationalist;Liberia Ultranationalist;;;;;;;;;;;;;x;;;;
