KUZ;Khuzestan;;;;;;;;;;;;;x;;;;
KUZ_ADJ;Khuzestan;;;;;;;;;;;;;x;;;;
KUZ_social_democrat;Democratic Socialists of Khuzestan;;;;;;;;;;;;;x;;;;
KUZ_socialist;Socialist Party of Khuzestan;;;;;;;;;;;;;x;;;;
KUZ_communist;Khuzestan Revolutionary Party;;;;;;;;;;;;;x;;;;
KUZ_liberal;Khuzestan Democratic Party;;;;;;;;;;;;;x;;;;
KUZ_anarcho_liberal;Khuzestan Libertarian Party;;;;;;;;;;;;;x;;;;
KUZ_green;Khuzestan Green Party;;;;;;;;;;;;;x;;;;
KUZ_conservative;Khuzestan Republican Party;;;;;;;;;;;;;x;;;;
KUZ_nationalist;Khuzestan Party;;;;;;;;;;;;;x;;;;
KUZ_traditionalist;Khuzestan Constitution Party;;;;;;;;;;;;;x;;;;
KUZ_ultranationalist;Khuzestan Ultranationalist;;;;;;;;;;;;;x;;;;
