KVU;Kivu;;;;;;;;;;;;;x;;;;
KVU_ADJ;Kivu;;;;;;;;;;;;;x;;;;
KVU_social_democrat;Democratic Socialists of Kivu;;;;;;;;;;;;;x;;;;
KVU_socialist;Socialist Party of Kivu;;;;;;;;;;;;;x;;;;
KVU_communist;Kivu Revolutionary Party;;;;;;;;;;;;;x;;;;
KVU_liberal;Kivu Democratic Party;;;;;;;;;;;;;x;;;;
KVU_anarcho_liberal;Kivu Libertarian Party;;;;;;;;;;;;;x;;;;
KVU_green;Kivu Green Party;;;;;;;;;;;;;x;;;;
KVU_conservative;Kivu Republican Party;;;;;;;;;;;;;x;;;;
KVU_nationalist;Kivu Party;;;;;;;;;;;;;x;;;;
KVU_traditionalist;Kivu Constitution Party;;;;;;;;;;;;;x;;;;
KVU_ultranationalist;Kivu Ultranationalist;;;;;;;;;;;;;x;;;;
