KWI;Kwilu;;;;;;;;;;;;;x;;;;
KWI_ADJ;Kwilu;;;;;;;;;;;;;x;;;;
KWI_social_democrat;Democratic Socialists of Kwilu;;;;;;;;;;;;;x;;;;
KWI_socialist;Socialist Party of Kwilu;;;;;;;;;;;;;x;;;;
KWI_communist;Kwilu Revolutionary Party;;;;;;;;;;;;;x;;;;
KWI_liberal;Kwilu Democratic Party;;;;;;;;;;;;;x;;;;
KWI_anarcho_liberal;Kwilu Libertarian Party;;;;;;;;;;;;;x;;;;
KWI_green;Kwilu Green Party;;;;;;;;;;;;;x;;;;
KWI_conservative;Kwilu Republican Party;;;;;;;;;;;;;x;;;;
KWI_nationalist;Kwilu Party;;;;;;;;;;;;;x;;;;
KWI_traditionalist;Kwilu Constitution Party;;;;;;;;;;;;;x;;;;
KWI_ultranationalist;Kwilu Ultranationalist;;;;;;;;;;;;;x;;;;
